x/d,Reb,Prb,Bo,Cp_bar/Cpb,Dens_w/Dens_b,Nu
5.80078125,3660.565638,2.795084664,3.00E-06,2.305499712,0.292684631,30.51499599
5.83984375,3661.47089,2.796022807,3.00E-06,2.303801168,0.292623103,30.49948248
5.87890625,3662.380734,2.796969047,3.00E-06,2.30214463,0.292565383,30.48691643
5.91796875,3663.296843,2.797927412,3.00E-06,2.300581428,0.2925159,30.47778565
5.95703125,3664.217778,2.798895365,3.00E-06,2.299147333,0.292477344,30.47325521
5.99609375,3665.141414,2.79986783,3.00E-06,2.297841792,0.292449306,30.4730072
6.03515625,3666.067048,2.80084128,3.00E-06,2.296639231,0.292429486,30.47464629
6.07421875,3666.994736,2.801812849,3.00E-06,2.295513639,0.292415595,30.4794526
6.11328125,3667.923567,2.802777891,3.00E-06,2.29444583,0.292405741,30.48133464
6.15234375,3668.851965,2.803731593,3.00E-06,2.29342491,0.292398681,30.48272022
6.19140625,3669.77922,2.804672661,3.00E-06,2.292435102,0.292393054,30.47969067
6.23046875,3670.705906,2.805604351,3.00E-06,2.291448766,0.292386901,30.47073277
6.26953125,3671.63435,2.806534406,3.00E-06,2.290439763,0.292378729,30.4568062
6.30859375,3672.569291,2.8074738,3.00E-06,2.289385593,0.292367586,30.44210211
6.34765625,3673.51097,2.808425439,3.00E-06,2.288271715,0.29235252,30.42541037
6.38671875,3674.453986,2.809380952,3.00E-06,2.287088023,0.292332054,30.40989309
6.42578125,3675.395742,2.810333306,3.00E-06,2.285826065,0.292304941,30.39324518
6.46484375,3676.33577,2.811280109,3.00E-06,2.284470498,0.29226974,30.37237463
6.50390625,3677.273716,2.812221369,3.00E-06,2.28299972,0.292224684,30.34678135
6.54296875,3678.209446,2.813158062,3.00E-06,2.281400858,0.292168774,30.31831113
6.58203125,3679.14224,2.814089789,3.00E-06,2.27966907,0.292101546,30.28751377
6.62109375,3680.071396,2.815014872,3.00E-06,2.277818766,0.292023985,30.25752233
6.66015625,3680.997291,2.815932396,3.00E-06,2.275856466,0.2919365,30.22998011
6.69921875,3681.920614,2.816842242,3.00E-06,2.273782012,0.291839015,30.20050696
6.73828125,3682.841614,2.81774419,3.00E-06,2.27158701,0.291730771,30.16742491
6.77734375,3683.760204,2.818637759,3.00E-06,2.26926543,0.291611167,30.13140552
6.81640625,3684.676185,2.819522907,3.00E-06,2.266822845,0.29148058,30.09373835
6.85546875,3685.588549,2.820400762,3.00E-06,2.264270672,0.291339958,30.05550864
6.89453125,3686.495146,2.821274486,3.00E-06,2.261598132,0.291188582,30.01605417
6.93359375,3687.394651,2.822150317,3.00E-06,2.258804009,0.291026754,29.97553679
6.97265625,3688.289209,2.823037831,3.00E-06,2.255906407,0.290856638,29.9326041
7.01171875,3689.188095,2.823952164,3.00E-06,2.252923541,0.290680868,29.88665544
7.05078125,3690.102067,2.824906907,3.00E-06,2.249849892,0.290499996,29.83744171
