x/d,Reb,Prb,Bo,Cp_bar/Cpb,Dens_w/Dens_b,Nu
4.86328125,3638.943431,2.7721739189999997,3e-06,2.357517005,0.29509136,0.0
4.90234375,3639.840611,2.773137572,3e-06,2.354593917,0.29491953,0.0
4.94140625,3640.735347,2.774095941,3e-06,2.351765264,0.294754749,0.0
4.98046875,3641.6286630000004,2.775052397,3e-06,2.349041764,0.294598288,0.0
5.01953125,3642.522735,2.776011687,3e-06,2.346424156,0.294450678,0.0
5.05859375,3643.4191189999997,2.776976805,3e-06,2.343921083,0.294312988,0.0
5.09765625,3644.319325,2.7779490489999996,3e-06,2.3415292340000002,0.29418511199999997,0.0
5.13671875,3645.2241710000003,2.778927574,3e-06,2.339224428,0.29406493699999997,0.0
5.17578125,3646.131418,2.779907268,3e-06,2.3369268819999998,0.293961375,0.0
5.21484375,3647.0373340000006,2.780881885,3e-06,2.334638528,0.293860301,0.0
5.25390625,3647.94015,2.7818494489999996,3e-06,2.332362668,0.293759314,0.0
5.29296875,3648.840735,2.78281248,3e-06,2.330135022,0.29366139199999997,0.0
5.33203125,3649.740739,2.7837735919999997,3e-06,2.327979695,0.293568643,0.0
5.37109375,3650.6404509999998,2.784731668,3e-06,2.325882499,0.293479902,0.0
5.41015625,3651.538543,2.785682685,3e-06,2.323825423,0.29339347,0.0
5.44921875,3652.4348630000004,2.786625177,3e-06,2.321810817,0.293309434,0.0
5.48828125,3653.3318189999995,2.7875626110000002,3e-06,2.319864105,0.293230078,0.0
5.52734375,3654.2314460000002,2.788499035,3e-06,2.317989458,0.293156075,0.0
5.56640625,3655.1339270000003,2.7894365160000003,3e-06,2.31615845,0.293085374,0.0
5.60546875,3656.038212,2.790375734,3e-06,2.314343055,0.293015833,0.0
5.64453125,3656.9433310000004,2.791317022,3e-06,2.31253272,0.292946649,0.0
5.68359375,3657.849181,2.792260573,3e-06,2.310728702,0.292877938,0.0
5.72265625,3658.755529,2.793204933,3e-06,2.308951255,0.292811195,0.0
5.76171875,3659.6612189999996,2.7941468019999998,3e-06,2.307214659,0.292747303,0.0
5.80078125,3660.5656380000005,2.7950846639999996,3e-06,2.305499712,0.29268463100000003,0.0
5.83984375,3661.47089,2.796022807,3e-06,2.303801168,0.292623103,0.0
5.87890625,3662.3807340000003,2.7969690469999997,3e-06,2.30214463,0.292565383,0.0
5.91796875,3663.296843,2.797927412,3e-06,2.300581428,0.2925159,0.0
5.95703125,3664.217778,2.798895365,3e-06,2.299147333,0.292477344,0.0
5.99609375,3665.141414,2.79986783,3e-06,2.297841792,0.292449306,0.0
6.03515625,3666.067048,2.80084128,3e-06,2.296639231,0.292429486,0.0
6.07421875,3666.994736,2.8018128489999996,3e-06,2.295513639,0.292415595,0.0
6.11328125,3667.9235670000003,2.8027778910000003,3e-06,2.29444583,0.292405741,0.0
6.15234375,3668.851965,2.803731593,3e-06,2.29342491,0.292398681,0.0
6.19140625,3669.7792200000004,2.804672661,3e-06,2.292435102,0.292393054,0.0
6.23046875,3670.705906,2.8056043510000004,3e-06,2.291448766,0.29238690100000003,0.0
6.26953125,3671.63435,2.8065344060000004,3e-06,2.290439763,0.292378729,0.0
6.30859375,3672.569291,2.8074738,3e-06,2.289385593,0.292367586,0.0
6.34765625,3673.5109700000003,2.8084254389999996,3e-06,2.288271715,0.29235252,0.0
6.38671875,3674.453986,2.8093809519999997,3e-06,2.287088023,0.292332054,0.0
6.42578125,3675.395742,2.8103333060000004,3e-06,2.285826065,0.29230494100000004,0.0
6.46484375,3676.33577,2.8112801089999997,3e-06,2.284470498,0.29226974,0.0
6.50390625,3677.2737159999997,2.812221369,3e-06,2.28299972,0.292224684,0.0
