StopID,Days,Hours,Predict,Target,APE
17,4,10,1754.74,1833,0.042697
18,4,10,1871.93,1962,0.045908
19,4,10,1999.37,2080,0.038764
20,4,10,2344.12,2422,0.032153
21,4,10,2523.64,2592,0.026373
22,4,10,2571.59,2637,0.024805
0,5,3,114.81,90,0.275617
1,5,3,242.53,240,0.01056
2,5,3,347.18,340,0.021109
3,5,3,477.91,450,0.062022
4,5,3,573.64,560,0.024354
5,5,3,660.51,652,0.01306
6,5,3,720.29,710,0.0145
7,5,3,881.58,870,0.013313
8,5,3,944.31,930,0.015385
9,5,3,1081.59,1060,0.020366
11,5,3,1181.73,1160,0.018733
13,5,3,1332.15,1304,0.021587
15,5,3,1436.05,1407,0.020646
16,5,3,1545.5,1517,0.018787
17,5,3,1680.39,1661,0.011675
18,5,3,1772.55,1749,0.013467
19,5,3,1895.33,1867,0.015174
20,5,3,2160.41,2144,0.007652
21,5,3,2345.96,2313,0.014249
22,5,3,2397.68,2357,0.017259
0,5,12,132.32,130,0.017871
1,5,12,287.76,290,0.007724
2,5,12,381.47,390,0.021867
3,5,12,698.09,740,0.056634
4,5,12,757.28,800,0.053403
5,5,12,871.67,920,0.05253
6,5,12,934.35,982,0.048528
7,5,12,1104.51,1156,0.044538
8,5,12,1169.57,1218,0.039765
9,5,13,1291.92,1340,0.035882
11,5,13,1404.35,1440,0.02476
13,5,13,1525.06,1554,0.018625
14,5,13,1723.25,1750,0.015286
15,5,13,1784.27,1801,0.009291
16,5,13,1931.16,1939,0.004043
17,5,13,2034.18,2035,0.000402
18,5,13,2114.67,2115,0.000157
19,5,13,2220.32,2205,0.006948
20,5,13,2642.55,2605,0.014416
21,5,13,2834.18,2805,0.010404
22,5,13,2897.88,2865,0.011476
0,6,5,159.15,133,0.196588
1,6,5,337.01,333,0.012036
2,6,5,472.27,473,0.001553
3,6,6,622.69,653,0.046423
4,6,6,684.98,723,0.052584
5,6,6,781.82,833,0.061435
6,6,6,860.75,913,0.05723
7,6,6,1041.52,1083,0.038301
8,6,6,1126.17,1163,0.031664
9,6,6,1303.21,1323,0.014961
10,6,6,1369.84,1393,0.016629
11,6,6,1478.39,1503,0.016372
13,6,6,1598.55,1621,0.013847
14,6,6,1694.3,1714,0.011491
15,6,6,1787.58,1791,0.001908
16,6,6,1920.68,1911,0.005067
17,6,6,2038.44,2021,0.008631
18,6,6,2132.1,2111,0.009994
19,6,6,2248.04,2231,0.007636
20,6,6,2547.5,2531,0.00652
21,6,6,2737.94,2711,0.009937
22,6,6,2802.95,2781,0.007893
0,6,10,193.59,180,0.075494
1,6,10,394.27,370,0.065608
2,6,10,476.49,460,0.035846
3,6,10,659.44,650,0.014523
4,6,10,771.96,760,0.015731
7,6,10,905.67,889,0.018754
8,6,10,969.18,950,0.020193
9,6,10,1130.18,1120,0.009093
11,6,10,1218.74,1219,0.000212
13,6,10,1411.53,1412,0.000331
14,6,10,1532.56,1515,0.011593
15,6,10,1629.78,1613,0.010406
17,6,11,1728.37,1706,0.013112
18,6,11,1868.43,1846,0.012151
19,6,11,1964.43,1956,0.00431
20,6,11,2286.67,2286,0.000291
21,6,11,2447.04,2441,0.002474
22,6,11,2497.36,2486,0.00457
0,1,7,97.3,90,0.081069
1,1,7,289.55,300,0.034847
3,1,7,482.34,500,0.035326
4,1,7,582.63,600,0.028948
5,1,7,673.47,704,0.043371
6,1,7,768.11,800,0.039858
7,1,7,942.76,967,0.025071
8,1,7,1017.39,1040,0.021744
9,1,7,1193.22,1240,0.037728
11,1,7,1293.27,1340,0.034873
13,1,7,1448.54,1492,0.029128
14,1,7,1585.09,1633,0.02934
