,StopID,Days,Hours,Predict,Target,APE
283,11,10,4,1237.72,1224,0.011208
284,13,10,4,1435.98,1423,0.009119
285,14,10,4,1559.44,1543,0.010656
286,15,10,4,1646.92,1633,0.008526
287,16,10,4,1768.46,1751,0.009969
288,17,10,4,1905.37,1875,0.016197
289,18,10,4,2030.8,2003,0.013878
290,19,10,4,2126.9,2085,0.020096
291,20,10,4,2415.36,2375,0.016992
292,21,10,4,2580.57,2565,0.006069
293,22,10,4,2654.45,2635,0.007381
294,1,10,9,166.96,170,0.017865
295,2,10,9,270.16,270,0.000585
296,3,10,9,512.69,480,0.068108
297,4,10,9,574.73,530,0.08440299999999999
298,5,10,9,681.25,640,0.064448
299,6,10,9,758.77,720,0.053853
300,7,10,9,924.52,890,0.038792
301,8,10,9,1011.38,980,0.032022
302,9,10,9,1155.28,1120,0.031497000000000004
303,10,10,9,1241.38,1210,0.025935000000000003
304,11,10,9,1370.88,1340,0.023044
305,12,10,9,1402.26,1380,0.016133
306,13,10,9,1559.4,1540,0.012595
307,14,10,9,1672.33,1660,0.007429000000000001
308,15,10,9,1741.32,1730,0.006542
309,16,10,9,1867.93,1850,0.009694
310,17,10,9,1988.52,1968,0.010426999999999999
311,18,10,9,2140.26,2123,0.008128
312,19,10,9,2290.09,2253,0.016461
313,20,10,9,2577.32,2553,0.009524
314,21,10,10,2761.91,2733,0.010579
315,22,10,10,2825.08,2793,0.011484999999999999
316,0,6,2,179.84,190,0.053456
317,1,6,2,290.04,280,0.03585
318,2,6,2,425.22,430,0.011123000000000001
319,3,6,3,557.66,548,0.017628
320,4,6,3,657.19,650,0.011066
321,5,6,3,754.24,740,0.019239
322,6,6,3,825.55,810,0.019191999999999997
323,7,6,3,982.68,970,0.013075
324,8,6,3,1057.57,1050,0.007206999999999999
325,9,6,3,1260.8,1260,0.000638
326,11,6,3,1381.92,1380,0.001391
327,12,6,3,1411.32,1407,0.003073
328,13,6,3,1585.55,1590,0.002796
329,14,6,3,1769.35,1775,0.003184
330,16,6,3,1888.16,1870,0.00971
331,17,6,3,2044.89,2027,0.008824
332,18,6,3,2152.95,2140,0.006052
333,19,6,3,2316.44,2310,0.002787
334,20,6,3,2598.06,2640,0.015887000000000002
335,21,6,3,2781.98,2820,0.013482
336,22,6,3,2847.49,2880,0.011288
337,0,6,11,110.6,100,0.10603699999999999
338,1,6,11,269.95,250,0.079792
339,2,6,11,432.23,430,0.00518
340,3,6,11,629.07,590,0.066224
341,4,6,11,701.33,670,0.046756
342,5,6,11,788.28,760,0.037206
343,6,6,12,859.16,830,0.035133
344,7,6,12,1034.99,1008,0.026777
345,8,6,12,1121.79,1086,0.032958999999999995
346,9,6,12,1310.66,1263,0.037732
347,11,6,12,1406.63,1363,0.032008
348,13,6,12,1583.68,1538,0.029699
349,14,6,12,1673.55,1628,0.027977999999999996
350,15,6,12,1752.26,1708,0.025916
351,16,6,12,1888.3,1858,0.016308
352,17,6,12,2037.85,2004,0.016888999999999998
353,18,6,12,2172.98,2134,0.018268
